,Train MAE,Test MAE,Val MAE,Epoch,Model
0,254.6652441535435,182.52305260216943,169.10488371073907,1,MPNNModel
1,89.42685665223406,6.628036015781873,6.948271311562637,2,MPNNModel
2,7.537679177045333,2.446263200343019,2.1586379143111225,3,MPNNModel
3,2.525859484418725,2.0115320599559463,2.030079684821256,4,MPNNModel
4,2.0750542382571844,2.0115320599559463,2.2692134709193788,5,MPNNModel
5,1.9388930471262422,1.8273330037555997,1.9565918881611284,6,MPNNModel
6,2.1190025862727078,1.418963592713278,1.4695774864387043,7,MPNNModel
7,1.6978531708707554,1.3352994135011247,1.3658406612614693,8,MPNNModel
8,1.6400093116893566,1.3352994135011247,1.8910050872217845,9,MPNNModel
9,1.7531042257919638,1.3352994135011247,3.942452502661738,10,MPNNModel
10,1.9651694494370053,1.3352994135011247,1.838296312857144,11,MPNNModel
11,1.477369317189718,1.3352994135011247,1.3973023681511432,12,MPNNModel
12,1.6312912385660672,1.3352994135011247,1.9354141353092758,13,MPNNModel
13,2.0267985859220015,1.3352994135011247,2.567455876343356,14,MPNNModel
14,1.8800569679137937,1.3352994135011247,2.6081219835234393,15,MPNNModel
15,1.8520661810999364,1.3352994135011247,1.8170039498160038,16,MPNNModel
16,1.5984990437097448,1.3352994135011247,1.7488767867311468,17,MPNNModel
17,1.6482510160936636,1.3352994135011247,1.618439978566663,18,MPNNModel
18,2.081344524542315,1.2347089635874617,1.2726436439406108,19,MPNNModel
19,1.4059359826214637,1.2347089635874617,2.3632807082730563,20,MPNNModel
20,1.6012650951354768,1.2347089635874617,1.9429128375546685,21,MPNNModel
21,2.0121222112702637,1.1892141655396775,1.2259815091570023,22,MPNNModel
22,1.4731482123146122,1.1892141655396775,1.259972187979468,23,MPNNModel
23,2.027753247532719,1.1892141655396775,2.5585668850414858,24,MPNNModel
24,1.6898363699018248,1.1892141655396775,1.462665809933188,25,MPNNModel
25,1.6011334335120477,1.1892141655396775,1.601258267763213,26,MPNNModel
26,1.3964548567011352,1.1783488194147747,1.1819356236551783,27,MPNNModel
27,1.5736182034627613,1.1783488194147747,1.4702501791744984,28,MPNNModel
28,1.452424849375148,1.1783488194147747,1.5441443535494688,29,MPNNModel
29,1.507609045594022,1.1783488194147747,1.7356329438427986,30,MPNNModel
30,1.6278466234329922,1.1783488194147747,2.2781618175835443,31,MPNNModel
31,1.4056255876914412,1.1783488194147747,1.5642805432744802,32,MPNNModel
32,1.364527733757906,1.1783488194147747,1.2460841311903423,33,MPNNModel
33,1.437502021718752,1.1783488194147747,1.30883259271166,34,MPNNModel
34,1.4711804850239678,1.1783488194147747,1.2918155237371698,35,MPNNModel
35,1.5882610782799684,1.1783488194147747,1.8384375699928828,36,MPNNModel
36,1.7546724590376228,1.1783488194147747,1.246329175868058,37,MPNNModel
37,1.5061339651911279,1.1783488194147747,1.6524646417260758,38,MPNNModel
38,1.3937522718511361,1.1783488194147747,1.404515270822741,39,MPNNModel
39,1.3998282248799485,1.1783488194147747,1.2642512657665854,40,MPNNModel
40,1.3422008559256062,1.1783488194147747,1.3211655839910648,41,MPNNModel
41,1.4366051383802552,1.1783488194147747,1.636062746564743,42,MPNNModel
42,1.6998068925103311,1.1783488194147747,1.4669077814799811,43,MPNNModel
43,1.5573414887999344,1.1783488194147747,1.217031008063866,44,MPNNModel
44,1.3808642850349986,1.1783488194147747,1.3958511653498475,45,MPNNModel
45,1.5305225783813396,1.1783488194147747,1.3357449244395854,46,MPNNModel
46,1.4838813097720613,1.1783488194147747,1.7774965927518647,47,MPNNModel
47,1.3045197122941705,1.1381977674288628,1.0838080462563802,48,MPNNModel
48,1.2390540801806578,1.1381977674288628,1.2076343159957472,49,MPNNModel
49,1.3046023924097294,1.1381977674288628,1.1035363892909928,50,MPNNModel
50,1.537870963232492,1.1381977674288628,1.1152999219782833,51,MPNNModel
51,1.333583335207266,1.0968918574016464,1.0638414423894413,52,MPNNModel
52,1.2558420846161356,1.0968918574016464,1.1557594061338257,53,MPNNModel
53,1.3207057862932545,1.0968918574016464,1.5337774445270669,54,MPNNModel
54,1.4731632109088293,1.0968918574016464,1.3985806138351047,55,MPNNModel
55,1.3056342278097766,1.0968918574016464,1.3867173228651433,56,MPNNModel
56,1.3764721544842229,1.0968918574016464,1.1708414598638788,57,MPNNModel
57,1.3441856813513635,1.0968918574016464,2.3579138441038836,58,MPNNModel
58,1.47772825585216,1.0968918574016464,1.2725317516350394,59,MPNNModel
59,1.3976832004053636,1.0968918574016464,1.0742195111336967,60,MPNNModel
60,1.277675705420389,1.1009520937089372,1.0613108750047355,61,MPNNModel
61,1.2081599923186421,1.0150696806273036,1.054963082075119,62,MPNNModel
62,1.254462466131095,1.0150696806273036,1.3851647592824081,63,MPNNModel
63,1.2813676485347252,1.0150696806273036,1.1781283246325742,64,MPNNModel
64,1.1822325815485657,1.0150696806273036,1.0967336910698802,65,MPNNModel
65,1.4204928312533616,1.0150696806273036,1.8819958461916506,66,MPNNModel
66,1.2531879814931557,1.0150696806273036,1.3871097207950254,67,MPNNModel
67,1.3295502816024616,1.0150696806273036,1.286366848082378,68,MPNNModel
68,1.5870586287502693,1.0150696806273036,1.5134476342518342,69,MPNNModel
69,1.2939097163255813,0.8786682322785094,1.0228786541176547,70,MPNNModel
70,1.212724546877021,0.8786682322785094,1.045157939195633,71,MPNNModel
71,1.311431481862328,0.8786682322785094,1.1860881383195887,72,MPNNModel
72,1.1971029357084673,0.8786682322785094,1.1146730710867003,73,MPNNModel
73,1.667528233827902,0.8786682322785094,1.707314726901172,74,MPNNModel
